dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_seen_avg,accuracy_final,forward_transfer,backward_transfer,ece_all_avg,ece_seen_avg,ece_final,ace_all_avg,ace_seen_avg,ace_final,sce_all_avg,sce_seen_avg,sce_final,brier_all_avg,brier_final,duration_s
cifar100,sdlora,02,10,0.32130998373031616,0.6419716477394104,0.5205999612808228,0.0,-0.1664888858795166,0.2628002996248007,0.0336245273213266,0.03633801538199186,0.00901789640297255,0.00011491937716468154,0.00019012302922597212,0.0076986906494140635,0.0006392347426671831,0.0007278845520019531,0.9375875835057446,0.6267347157884027,2388.588430917822
cifar100,sdlora,03,10,0.31679999828338623,0.6323636770248413,0.5183999538421631,0.0,-0.1572222113609314,0.27028861341461535,0.03988170737162883,0.04358597023822368,0.009051514323659648,0.0002235490106077501,0.0003793109046434976,0.00787643348388672,0.0007878129196530297,0.0009579858703613283,0.9439939233196635,0.6273822288282608,2383.8697970900685
cifar100,sdlora,04,10,0.31387001276016235,0.6296710968017578,0.504800021648407,0.0,-0.17388887703418732,0.2711982729778438,0.0388902648594869,0.06141640970781445,0.009042034253128746,0.00015048316617417075,0.00032395280461781743,0.007794534402465821,0.0007488646876743861,0.0012211368408203125,0.9479984967793419,0.6480757018498454,2391.2530572749674
cifar100,tball,00,10,0.32266998291015625,0.6365813612937927,0.5316000580787659,0.0,-0.17275555431842804,0.24404163001034407,0.026479870076658474,0.031256673198938385,0.008997745732386995,0.00012119014792259515,8.517219575913655e-05,0.00733091785583496,0.0005459536497933524,0.0005476772766113282,0.9198816312798336,0.5967402198574262,2517.07523832703
cifar100,tball,01,10,0.32547998428344727,0.6445158123970032,0.5315999984741211,0.0,-0.17580001056194305,0.24601486461035912,0.031439416015772596,0.043339783096313485,0.009009933835841748,0.00012080736346462078,0.0002215614642074796,0.007376706182861329,0.0006004293776860313,0.000834938995361328,0.9201860578332228,0.6123877076851937,2502.5254596490413
cifar100,tball,02,10,0.33077001571655273,0.6524296998977661,0.541700005531311,0.0,-0.16695556044578552,0.23549153261136263,0.026677376795775372,0.03422515583038332,0.008997792135519366,0.00014402697518147152,9.465798419341382e-05,0.007228053585815429,0.0005554654549068877,0.0006434293518066409,0.9075230129356362,0.5981424193923345,2530.016406086739
cifar100,tball,03,10,0.32582002878189087,0.6433197259902954,0.5449000000953674,0.0,-0.16366666555404663,0.24476200091809033,0.027919241766903607,0.02167337093353272,0.008998882039000523,8.379875831477526e-05,7.626615986181404e-05,0.0073779136383056625,0.0005484159100577944,0.0004248461608886719,0.9187541357874973,0.5916261700125993,2504.2249593562447
cifar100,tball,04,10,0.3283900022506714,0.6487045288085938,0.5334000587463379,0.0,-0.17057780921459198,0.23547332474637778,0.027595344877282657,0.03786844602413477,0.009005808359368352,0.0001475822155910105,0.00016043445918196802,0.007242993377685547,0.0005768103594764831,0.0007110053405761723,0.9132722750409952,0.6057503930755548,2550.361732772086
cifar100,tball-mnd,00,10,0.32322001457214355,0.6374640464782715,0.538100004196167,0.0,-0.16500000655651093,0.21449071910329165,0.03051016873501595,0.018468311882019042,0.009029194568359994,0.00033089904992607787,0.00046791556456778224,0.006890097933959961,0.0007880876258910648,0.0006509561462402343,0.9041807463107563,0.5968095420994343,4306.835729768965
cifar100,tball-mnd,01,10,0.32607001066207886,0.6435846090316772,0.5368000268936157,0.0,-0.15511110424995422,0.21579553079243746,0.03629537270748678,0.02601104412078855,0.009004156608363649,0.00025703982539336523,0.0002528912891298517,0.006918228924560547,0.0007811820705232166,0.0005337665405273435,0.9042109414885882,0.6045046769192921,4266.557848243974
cifar100,tball-mnd,02,10,0.33044999837875366,0.6505042314529419,0.5472999811172485,0.0,-0.14955554902553558,0.20975755224287512,0.039101725027037286,0.025815118075907233,0.009029360231234976,0.0003748064760663749,0.0004703506885562099,0.006819284484863281,0.0008926991609906395,0.0006517367248535157,0.8961734975051805,0.5947105989775601,4303.7679593432695
cifar100,tball-mnd,03,10,0.3278999924659729,0.645175576210022,0.5478999614715576,0.0,-0.15026666224002838,0.21150006017714737,0.0346893767236389,0.020899147100374108,0.00903227868220257,0.0003261538771004386,0.0004980183024909358,0.0068464129364013675,0.0008257462898496598,0.0005581198425292969,0.9001820187809418,0.5875990332687144,4258.926963340025
cifar100,tball-mnd,04,10,0.32802003622055054,0.645323634147644,0.5376999974250793,0.0,-0.15453332662582397,0.2077325240625069,0.03751834232982928,0.019697830879688256,0.009030386837042584,0.0004189040412234643,0.0004949647504370665,0.006770272842407226,0.0009005883001539444,0.0006684093322753905,0.899264255295947,0.6000535544388823,4622.038588916883
core50,ball,00,10,0.2552858889102936,0.532753050327301,0.37105587124824524,0.0,-0.22588136792182922,0.36899000290751455,0.12458040032599471,0.1569317748069763,0.019670785143422916,0.003446221602929172,0.005580517169244588,0.018750530334472652,0.005115918599197326,0.006528168273925782,1.0951946298226987,0.8240241494590514,6945.404106701259
core50,ball,01,10,0.24741172790527344,0.5244829058647156,0.34407564997673035,0.0,-0.18981927633285522,0.38708003116846085,0.1379934918226048,0.18357157154083253,0.0198858521338708,0.003694992504559838,0.0061945294351466,0.019193889324951172,0.005527209210650851,0.007331283691406249,1.1166278306166084,0.8626198898223407,6579.233831387013
core50,ball,02,10,0.2638092637062073,0.5447281002998352,0.3854873776435852,0.0,-0.16988299787044525,0.36099880090177056,0.11199430943085562,0.12937539730072023,0.01950402212664768,0.0032022777152744854,0.0045326991698779176,0.018485319195556644,0.004529595650674007,0.005246296997070313,1.0912853048784,0.8093391418899355,6581.147086249199
