dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,linear,2916795_0,8,0.6188,0.68755555,0.001995431262932193,3.3121655271177105e-05,0.5199263304243265,0.07318913979530332,0.024647439161936444,0.0017995373840332032,0.0004753543768988715
cifar100,linear,2916795_0,9,0.67029995,0.67029995,5.0848875950935184e-05,5.0848875950935184e-05,0.44230658028559117,0.02471581187248229,0.02471581187248229,0.00047582354736328117,0.00047582354736328117
cifar100,linear,2917093_3,0,0.0949,0.949,0.017405693017936777,5.886815575787355e-06,1.4207071292405458,0.6143335461944341,0.013228322982788095,0.016377615203857415,0.00018588885307312022
cifar100,linear,2917093_3,1,0.17539999,0.877,0.015783821716594745,9.313520598779804e-06,1.2488959004596276,0.5126555155679583,0.016731679484248196,0.014190604034423827,0.00030986867904663113
cifar100,linear,2917093_3,2,0.2502,0.83400005,0.013880140802396636,1.4135258564607994e-05,1.0871322907076801,0.4125112181901932,0.019004736820856676,0.01199609127807617,0.00032914615631103453
cifar100,linear,2917093_3,3,0.3214,0.8035,0.011928959156564802,2.284598961929169e-05,0.9785796147606634,0.3501154299259186,0.013298944607377058,0.01009157778930664,0.00024881124496459964
cifar100,linear,2917093_3,4,0.3856,0.7712,0.009917038354220364,1.33532515149346e-05,0.8662299412669828,0.2807877836942673,0.018517897355556485,0.008180285186767578,0.00028769873046875
cifar100,linear,2917093_3,5,0.4443,0.7405,0.00796686820333467,2.0997839989650335e-05,0.7709999663838046,0.22471259827613832,0.022843117932478615,0.006535431701660157,0.00037682622273763056
cifar100,linear,2917093_3,6,0.50240004,0.7177143,0.005989157097943476,2.9255558375381716e-05,0.6948595901625555,0.1841854597091675,0.026951761228697642,0.00499578695678711,0.0004770367867606028
cifar100,linear,2917093_3,7,0.5585,0.698125,0.003990860477174923,4.844633215057943e-05,0.611894435039049,0.1308681556224823,0.026934671163558976,0.0034243867797851555,0.0005028242301940919
cifar100,linear,2917093_3,8,0.6144,0.68266666,0.0019970532084452,6.91571131217149e-05,0.523288776005012,0.07540364499092102,0.027641788800557458,0.0018534884948730465,0.0005093750678168404
cifar100,linear,2917093_3,9,0.6616,0.6616,6.541184861466141e-05,6.541184861466141e-05,0.45158229012636075,0.03293428521156309,0.03293428521156309,0.000618367645263672,0.000618367645263672
cifar100,joint,2934784_1,0,0.9017,0.9017,7.798164738649104e-06,7.798164738649104e-06,0.13986647535571145,0.006385777858644673,0.006385777858644673,8.922807312011669e-05,8.922807312011669e-05
cifar100,joint,2917148_4,0,0.902,0.902,3.4963600855114987e-06,3.4963600855114987e-06,0.140112366924211,0.008048972404003088,0.008048972404003088,0.00014103713989257756,0.00014103713989257756
cifar100,joint,2931764_0,0,0.9063,0.9063,9.094221867942085e-06,9.094221867942085e-06,0.13638439599700622,0.0037826997160911842,0.0037826997160911842,8.135247802734404e-05,8.135247802734404e-05
cifar100,joint,2934796_2,0,0.9044,0.9044,6.510430199602923e-06,6.510430199602923e-06,0.13744815581796788,0.007096606469154417,0.007096606469154417,9.981674194336002e-05,9.981674194336002e-05
cifar100,joint,2934813_3,0,0.9063,0.9063,6.744556605406956e-06,6.744556605406956e-06,0.13835166084270978,0.007441359075903833,0.007441359075903833,0.00013881131744384703,0.00013881131744384703
cifar100,replay,2926856_3,0,0.098000005,0.98,0.017494700571956116,7.498550805030209e-06,1.4129404699055228,0.610839356893301,0.005934717416763252,0.016072761749267576,0.000139287759661674
cifar100,replay,2926856_3,1,0.1925,0.9625,0.01544618228631467,4.1599735493207465e-06,1.2336150482823498,0.5173882627606391,0.009223484918475116,0.01369762957763672,0.00018967740058898892
cifar100,replay,2926856_3,2,0.2834,0.9446666,0.013322970493142959,1.1869428104352845e-05,1.0560872852335836,0.4204071170330048,0.011360416293144207,0.011525074981689455,0.00019612183888753233
cifar100,replay,2926856_3,3,0.369,0.92249995,0.011511009899409837,1.511993485706525e-05,0.9681419428982423,0.39491415095329285,0.006573764123022527,0.010121568054199219,0.0001406288146972654
cifar100,replay,2926856_3,4,0.45139998,0.90279996,0.009644895841860446,1.6645443445539018e-05,0.8380223443917612,0.33232984094619755,0.016628303432464606,0.008490209197998047,0.0002800375366210938
