dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_final,accuracy_seen_avg,ace_all_avg,ace_final,ace_seen_avg,backward_transfer,brier_all_avg,brier_final,ece_final,ece_seen_avg,ece_all_avg,forward_transfer,sce_all_avg,sce_final,sce_seen_avg,asce_final
domainnet,lora,2967968_2,5,0.42461293935775757,0.6520800590515137,0.743003249168396,0.002235113087917837,3.8623321354332074e-05,2.3124946694612457e-05,-0.177250936627388,0.7797974119939444,0.46062566968496066,0.021205351481102527,0.014002946132864236,0.208503504894224,0.0,0.0016910142146045518,0.00013142032299555582,7.666756689907376e-05,0.00013143913762537996
domainnet,linear,2999464_2,5,0.43530207872390747,0.6875391006469727,0.7502104640007019,0.0022503525009111773,3.963860309836642e-05,2.7251031575523765e-05,-0.07058060169219971,0.7621930008688563,0.4169423813611752,0.023160320553193326,0.016900980423913935,0.20077055836705676,0.0,0.0016446889642193249,0.00010977532369103544,6.643427283415762e-05,0.00010975758680865664
domainnet,linear,3003806_3,5,0.43602681159973145,0.6889455914497375,0.7507817149162292,0.0022558142145764726,3.59301154904732e-05,2.4156466210011247e-05,-0.06947982311248779,0.7626785835390496,0.41565774716039766,0.024288750356863488,0.01828261193333199,0.20068979911580595,0.0,0.0016418535410224113,0.00010583570562756643,6.988079285943533e-05,0.00010556171966941044
domainnet,linear,2990698_0,5,0.4349701404571533,0.6872888207435608,0.7491986155509949,0.0022602867343861507,3.8496511808246905e-05,2.6041368031620157e-05,-0.07177958637475967,0.7619037300034995,0.417024053619701,0.023917003104752685,0.017181020231318823,0.20065450336062746,0.0,0.0016449409992190436,0.00011315515638944891,6.911325591834573e-05,0.00011347681805146401
domainnet,linear,2970739_4,5,0.43414878845214844,0.6845826506614685,0.7484642267227173,0.0022506912550122964,3.4485017174935505e-05,2.5493534454090218e-05,-0.07029333710670471,0.764024854581357,0.4192506493923221,0.023598340142505364,0.017537913709309082,0.20113865120549237,0.0,0.0016411589302873838,0.00011335806949861997,7.339982100734114e-05,0.00011362536757437167
domainnet,linear,2999463_1,5,0.4344080090522766,0.6859610080718994,0.7485142946243286,0.002247851532361808,3.730071658741496e-05,2.5142912417964144e-05,-0.07392872869968414,0.7623996140662995,0.41861779687277834,0.024521468913005412,0.01651622125636403,0.20113348486105367,0.0,0.0016452665215562108,0.00011693584012322909,7.034929003078267e-05,0.00011700992481681948
domainnet,ball,2964429_4,5,0.44555559754371643,0.7034553289413452,0.7677447199821472,0.0022793251274064014,6.83193022155857e-05,3.81752999648493e-05,-0.07568249106407166,0.7676262164953952,0.39919118278207144,0.032442054546770814,0.021295203319236004,0.22737052365600935,0.0,0.0018093920874935922,0.00019525794843453087,0.0001241877922131299,0.00019529469628057044
domainnet,ball,2967971_0,5,0.4463082253932953,0.704667866230011,0.7688297033309937,0.002276448849384184,6.547583252302939e-05,3.654098166389277e-05,-0.06943614780902863,0.7664021991976735,0.3971466356868167,0.027272552270815646,0.019068073079109814,0.22560981526822732,0.0,0.001801983973206395,0.00016871211819655504,0.0001150817956641939,0.00016869110212136735
domainnet,ball,2968412_1,5,0.4449012875556946,0.7022008895874023,0.7667340040206909,0.0022713076016232995,6.609231349909154e-05,3.586896001705582e-05,-0.07643432915210724,0.7655576834849673,0.40121092698263366,0.03172958734587139,0.019529268067028347,0.22450785869994844,0.0,0.0017933779986095328,0.00019098227785652804,0.00011564897015744312,0.0001909874410187087
domainnet,ball,2968413_2,5,0.4451058506965637,0.7025062441825867,0.7669137716293335,0.0022684166947068685,6.331775007716118e-05,3.50818199713552e-05,-0.07593992352485657,0.7647690625397129,0.4005151555960197,0.029695125170090226,0.019008465154127237,0.22222989440380886,0.0,0.0017831749685555739,0.00017827184247120941,0.00011349869098155702,0.0001783082853732044
domainnet,ball,2968538_3,5,0.44565391540527344,0.7040202021598816,0.767979085445404,0.0022746537990338983,6.919617757912323e-05,3.916634455697095e-05,-0.0750378891825676,0.7653594546850087,0.39919631905426844,0.030754919741860873,0.019409661794774314,0.2245776576085658,0.0,0.0017972250506993787,0.00018865093468460964,0.00011687824429208496,0.00018861165120795178
