dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,joint,2934796_2,10,0.7024054331322239,0.7157534246575342,0.0292
cifar100,joint,2934796_2,11,0.768058647543697,0.7711864406779662,0.0354
cifar100,joint,2934796_2,12,0.8336592318010441,0.8375870069605569,0.0431
cifar100,joint,2934796_2,13,0.9020674501616379,0.9144827586206896,0.0725
cifar100,joint,2934796_2,14,0.9904583085054731,0.9878531073446327,0.708
cifar100,joint,2934813_3,0,0.0,0.0,0.0
cifar100,joint,2934813_3,1,0.11216803640127182,0.0,0.0001
cifar100,joint,2934813_3,2,0.17812222242355347,0.08333333333333333,0.0012
cifar100,joint,2934813_3,3,0.23268098490578787,0.2857142857142857,0.0028
cifar100,joint,2934813_3,4,0.3065979940849438,0.3333333333333333,0.0057
cifar100,joint,2934813_3,5,0.3696175040779533,0.43956043956043955,0.0091
cifar100,joint,2934813_3,6,0.43666524579448085,0.5096774193548387,0.0155
cifar100,joint,2934813_3,7,0.5014069847794561,0.5064377682403434,0.0233
cifar100,joint,2934813_3,8,0.5649842975520286,0.5798319327731093,0.0238
cifar100,joint,2934813_3,9,0.6344349817024856,0.6476868327402135,0.0281
cifar100,joint,2934813_3,10,0.701015130593358,0.6702508960573477,0.0279
cifar100,joint,2934813_3,11,0.7682299534918854,0.7209944751381215,0.0362
cifar100,joint,2934813_3,12,0.8344059200077266,0.8197802197802198,0.0455
cifar100,joint,2934813_3,13,0.9046683933423914,0.908835904628331,0.0713
cifar100,joint,2934813_3,14,0.9904475808227625,0.9885835095137421,0.7095
cifar100,replay,2926856_3,0,0.0,0.0,0.0
cifar100,replay,2926856_3,1,0.12093116343021393,1.0,0.0001
cifar100,replay,2926856_3,2,0.1733113924662272,0.08333333333333333,0.0024
cifar100,replay,2926856_3,3,0.23870688218336839,0.24358974358974358,0.0078
cifar100,replay,2926856_3,4,0.3014974016131777,0.29545454545454547,0.0132
cifar100,replay,2926856_3,5,0.36973778318963657,0.35911602209944754,0.0181
cifar100,replay,2926856_3,6,0.4351629014180894,0.37065637065637064,0.0259
