dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,ball,2924430_1,12,0.8328166085153722,0.8300970873786407,0.0618
cifar100,ball,2924430_1,13,0.9025720310962106,0.8986220472440944,0.1016
cifar100,ball,2924430_1,14,0.9842195068976411,0.9778854254422915,0.4748
cifar100,der,2931452_1,0,0.0642743781208992,0.0,0.0002
cifar100,der,2931452_1,1,0.11251098176707393,0.391304347826087,0.0023
cifar100,der,2931452_1,2,0.16829903920491537,0.3148148148148148,0.0108
cifar100,der,2931452_1,3,0.2351353067747304,0.28169014084507044,0.0142
cifar100,der,2931452_1,4,0.3032743318484781,0.41530054644808745,0.0183
cifar100,der,2931452_1,5,0.3676217206046305,0.40772532188841204,0.0233
cifar100,der,2931452_1,6,0.4351135038993728,0.4964788732394366,0.0284
cifar100,der,2931452_1,7,0.5004915441357115,0.5125786163522013,0.0318
cifar100,der,2931452_1,8,0.5676048364532128,0.5421348314606742,0.0356
cifar100,der,2931452_1,9,0.6327043331113449,0.5931232091690545,0.0349
cifar100,der,2931452_1,10,0.700408935546875,0.6986666666666667,0.0375
cifar100,der,2931452_1,11,0.7691166526392886,0.7456140350877193,0.0456
cifar100,der,2931452_1,12,0.8363068640452029,0.7675276752767528,0.0542
cifar100,der,2931452_1,13,0.9035892050475707,0.8495788206979543,0.0831
cifar100,der,2931452_1,14,0.9866333218351155,0.96757502587099,0.5798
cifar100,der,2931529_3,0,0.0,0.0,0.0
cifar100,der,2931529_3,1,0.1100571386275753,0.12903225806451613,0.0031
cifar100,der,2931529_3,2,0.16615377392685204,0.17543859649122806,0.0114
cifar100,der,2931529_3,3,0.23486767134852915,0.37988826815642457,0.0179
cifar100,der,2931529_3,4,0.2998800530004754,0.43386243386243384,0.0189
cifar100,der,2931529_3,5,0.3648993087141481,0.4657534246575342,0.0219
cifar100,der,2931529_3,6,0.43661206563313804,0.4666666666666667,0.024
cifar100,der,2931529_3,7,0.499942043768546,0.5370919881305638,0.0337
cifar100,der,2931529_3,8,0.5665483422042257,0.56353591160221,0.0362
cifar100,der,2931529_3,9,0.6330221048990885,0.59,0.03
cifar100,der,2931529_3,10,0.7000202250544572,0.6166219839142091,0.0373
cifar100,der,2931529_3,11,0.7672838881679865,0.730593607305936,0.0438
cifar100,der,2931529_3,12,0.8356771586853781,0.7619047619047619,0.0567
cifar100,der,2931529_3,13,0.9040019409456491,0.8571428571428571,0.0882
cifar100,der,2931529_3,14,0.9863401437099151,0.96931877275091,0.5769
cifar100,der,2931528_2,0,0.0,0.0,0.0
cifar100,der,2931528_2,1,0.10616718756185996,0.13513513513513514,0.0037
cifar100,der,2931528_2,2,0.1714189813492146,0.26595744680851063,0.0094
cifar100,der,2931528_2,3,0.23460531538459145,0.33121019108280253,0.0157
cifar100,der,2931528_2,4,0.300962293470228,0.372972972972973,0.0185
cifar100,der,2931528_2,5,0.3653580994732612,0.4026548672566372,0.0226
cifar100,der,2931528_2,6,0.43457129526946503,0.47796610169491527,0.0295
cifar100,der,2931528_2,7,0.5015395364643614,0.49691358024691357,0.0324
cifar100,der,2931528_2,8,0.5654207350890761,0.5664739884393064,0.0346
cifar100,der,2931528_2,9,0.6318767663204309,0.6212121212121212,0.033
cifar100,der,2931528_2,10,0.7009851232751624,0.6155844155844156,0.0385
cifar100,der,2931528_2,11,0.7680225917271205,0.6904761904761905,0.042
cifar100,der,2931528_2,12,0.834982370522783,0.7771836007130125,0.0561
cifar100,der,2931528_2,13,0.9034671423570165,0.8431603773584906,0.0848
cifar100,der,2931528_2,14,0.9867055481968664,0.9692679558011049,0.5792
cifar100,der,2917147_4,0,0.06006183102726936,0.0,0.0001
cifar100,der,2917147_4,1,0.1089392350270198,0.19230769230769232,0.0026
cifar100,der,2917147_4,2,0.16922304581622688,0.3163265306122449,0.0098
cifar100,der,2917147_4,3,0.2344638447702667,0.2716049382716049,0.0162
cifar100,der,2917147_4,4,0.30269036429268975,0.3657142857142857,0.0175
cifar100,der,2917147_4,5,0.3683131617358607,0.4230769230769231,0.0234
cifar100,der,2917147_4,6,0.43585711980270125,0.4542372881355932,0.0295
cifar100,der,2917147_4,7,0.500943710243767,0.5,0.0366
cifar100,der,2917147_4,8,0.5664007972915166,0.5561959654178674,0.0347
cifar100,der,2917147_4,9,0.6323791585722813,0.6166219839142091,0.0373
cifar100,der,2917147_4,10,0.701864237820836,0.674937965260546,0.0403
cifar100,der,2917147_4,11,0.7680377644568188,0.7541371158392435,0.0423
cifar100,der,2917147_4,12,0.8352855229286399,0.7911877394636015,0.0522
cifar100,der,2917147_4,13,0.9040812624093577,0.8342541436464088,0.0905
cifar100,der,2917147_4,14,0.9866411589230599,0.9656084656084656,0.567
cifar100,der,2931320_0,0,0.06564129143953323,0.0,0.0001
cifar100,der,2931320_0,1,0.1109210622721705,0.27586206896551724,0.0029
cifar100,der,2931320_0,2,0.16647801540865756,0.1782178217821782,0.0101
cifar100,der,2931320_0,3,0.23533910471242625,0.36363636363636365,0.0143
cifar100,der,2931320_0,4,0.2993436803154767,0.35294117647058826,0.0187
