dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,tball,3,4,0.2995644002783258,0.27959413754227735,0.0887
cifar100,tball,3,5,0.36704250818777295,0.3548034934497817,0.0916
cifar100,tball,3,6,0.43304908826194954,0.4038668098818475,0.0931
cifar100,tball,3,7,0.49993224537700687,0.4724770642201835,0.0872
cifar100,tball,3,8,0.5654071921578591,0.5203252032520326,0.0738
cifar100,tball,3,9,0.6331884609624601,0.6038338658146964,0.0626
cifar100,tball,3,10,0.699428727602389,0.6843003412969283,0.0586
cifar100,tball,3,11,0.7664094380906358,0.7353951890034365,0.0582
cifar100,tball,3,12,0.8328973195715474,0.8103161397670549,0.0601
cifar100,tball,3,13,0.9011253214770962,0.9021739130434783,0.0644
cifar100,tball,3,14,0.9733213956889082,0.9610051993067591,0.1154
cifar100,tball,4,0,0.057708740234375,0.0,0.0001
cifar100,tball,4,1,0.11571033722763761,0.08256880733944955,0.0109
cifar100,tball,4,2,0.17031146110372342,0.15087040618955513,0.0517
cifar100,tball,4,3,0.23429157506281406,0.24748743718592964,0.0796
cifar100,tball,4,4,0.3016472375980942,0.297085201793722,0.0892
cifar100,tball,4,5,0.3673862003544879,0.36123348017621143,0.0908
cifar100,tball,4,6,0.43383651285623587,0.40293453724604966,0.0886
cifar100,tball,4,7,0.5006538673683449,0.4548611111111111,0.0864
cifar100,tball,4,8,0.5668618865576103,0.5135135135135135,0.0703
cifar100,tball,4,9,0.6339139161746743,0.5553745928338762,0.0614
cifar100,tball,4,10,0.7001935623879928,0.6362007168458781,0.0558
cifar100,tball,4,11,0.7659213142332789,0.6851549755301795,0.0613
cifar100,tball,4,12,0.8329789485837439,0.7865353037766831,0.0609
cifar100,tball,4,13,0.9005545946322436,0.8454680534918276,0.0673
cifar100,tball,4,14,0.9734055694361575,0.9403341288782816,0.1257
cifar100,tball-mnd,2,0,0.0625762939453125,0.5,0.0002
cifar100,tball-mnd,2,1,0.11098836263020834,0.10952380952380952,0.021
cifar100,tball-mnd,2,2,0.16956370881088825,0.1819484240687679,0.0698
cifar100,tball-mnd,2,3,0.2338164440176105,0.3060773480662983,0.0905
cifar100,tball-mnd,2,4,0.2996713473335763,0.3323615160349854,0.1029
