dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,ball,4,9,0.5086,0.5086,9.600614623818529e-05,9.600614623818529e-05,0.6375832691029656,0.04582524574398993,0.04582524574398993,0.000847740447998047,0.000847740447998047
cifar100,clora,2,0,0.0944,0.944,0.017921712444006643,1.7773386389037084e-06,1.4834870411632062,0.6642365469336509,0.016809124946594266,0.016932834716796873,0.00028385223388671904
cifar100,clora,2,1,0.1593,0.79649997,0.015972901384415105,1.843249316614566e-05,1.2233728614727533,0.4696953595221042,0.024730444043874724,0.013940189300537108,0.00031962106704711896
cifar100,clora,2,2,0.2145,0.715,0.01397795900645564,5.088567203581081e-05,1.094240764324174,0.37629396258592607,0.033146193146705666,0.011576094818115237,0.0006317341613769534
cifar100,clora,2,3,0.25739998,0.6435,0.011993488587231435,0.00011987250581545542,1.0078649570078155,0.30762621574401855,0.025540892437100393,0.009485070404052732,0.0003352657318115231
cifar100,clora,2,4,0.30979997,0.61959994,0.00997645845003688,0.00022331460844867893,0.9181782882020203,0.23646501083374027,0.014995049619674674,0.007529971679687501,0.00025394845581054674
cifar100,clora,2,5,0.3394,0.5656667,0.007981607422817966,0.00021317219561407412,0.8587340441519509,0.18513502368927,0.031204488118489603,0.005795599761962889,0.000510733083089193
cifar100,clora,2,6,0.3696,0.528,0.005993472739819903,0.00033780692523927453,0.816241894996414,0.1287502536773682,0.03245612348828997,0.003937849578857421,0.0007177677699497769
cifar100,clora,2,7,0.3872,0.484,0.003997683824540117,0.00028466418207928645,0.7784116422082578,0.10942611485198141,0.041202988632954664,0.0027487571716308594,0.0007476573181152346
cifar100,clora,2,8,0.4237,0.47077778,0.002012076112815179,0.00033122664933403197,0.7360998780725623,0.07187048864066602,0.04236592019763257,0.0014041009521484373,0.0007262855699327254
cifar100,clora,2,9,0.4704,0.4704,0.00037317933840304665,0.00037317933840304665,0.6735448618105494,0.03020086621791124,0.03020086621791124,0.0007046042480468753,0.0007046042480468753
cifar100,clora,1,0,0.0939,0.939,0.017938090031674875,1.6900813113539852e-06,1.4706430945363336,0.6540867346405983,0.018062970191240327,0.016870598327636717,0.0003381367254257203
cifar100,clora,1,1,0.1615,0.8075,0.01595114365623551,9.252712308459982e-06,1.2088507253001641,0.4557512144774199,0.027577860951423637,0.01394078793334961,0.00040545162200927734
cifar100,clora,1,2,0.21470001,0.7156667,0.01397405436774343,4.900721783357314e-05,1.082725014910903,0.3665721178174019,0.014622993831833207,0.011502648468017579,0.000410553970336914
cifar100,clora,1,3,0.264,0.65999997,0.011989994695502451,7.18731996272432e-05,1.0053320162568253,0.30796418390274044,0.022255508214235303,0.009501655487060544,0.0003154833221435547
cifar100,clora,1,4,0.3025,0.605,0.009983370096333617,0.00020838031853619057,0.922680520125717,0.24061072978973386,0.023716057133674615,0.007555638397216795,0.0005002740783691407
cifar100,clora,1,5,0.3505,0.5841666,0.007979987339136307,0.00024366376748691704,0.8427734204716835,0.16761700115203856,0.022436920722325664,0.005606280151367186,0.0005494136047363283
cifar100,clora,1,6,0.37660003,0.538,0.005984373592756224,0.00044631418035781355,0.7992008939326193,0.12308179779052734,0.019985791615077436,0.0037739773559570316,0.0007600995744977681
